plant_power_kW,RO_perm_flow_gpm,UV1_flow_MGD,UV2_flow_MGD,RO_feed_flow_gpm
1618.80957,6795,7.095461845,6.975707054,10414.25
1600.279297,6809,7.085482121,6.90585041,10430.46973
1640.991333,6772,7.015625477,6.935789108,10372.60938
1294.026367,5028,5.259224415,5.219305992,7789.609863
Null,Null,Null,Null,Null
1298.546143,4976,5.24924469,5.169408321,7801.159668
1621.999512,6767,7.025605202,6.975707054,10470.72949
1606.408691,6789,7.015625477,6.995666504,10431.79004
1579.77124,6734,7.03558445,6.845973015,10424.88965
1289.743164,5040,5.239264965,5.179387569,7822.810059
1230.234375,4993,5.229285717,5.149449348,7864.599609
902.3981934,3361,3.482863903,3.432965994,5137.350098
277.3410034,121,0.918118834,0.928098381,5.699999809
1294.571533,5057,5.129489899,5.368999481,7846.709961
1621.758423,6855,6.935789108,7.334970951,10434.83984
1726.439697,6879,6.945768833,7.265114307,10457.83008
1652.229736,6896,6.895870686,7.265114307,10400.51953
1642.783447,6891,6.227241039,6.586504936,10481.01953
1662.123291,6778,7.125400543,6.975707054,10504.75977
126.1925125,2,0,0,3.899999857
1640.914673,6845,7.135380268,7.075502872,10421.31934
1649.282715,6804,7.165318966,6.945768833,10467.92969
1633.831299,6834,7.135380268,7.005645752,10411.91016
1704.080444,6816,7.125400543,7.005645752,10457.0293
1671.998047,6811,7.155339241,6.935789108,10422.20996
1360.361816,5056,5.299142361,5.189367294,7849.799805
1723.442871,6818,7.115420818,7.015625477,10467.91016
1634.908081,6845,6.945768833,6.796075344,10405.72949
1655.931885,6856,7.125400543,6.995666504,10527.08008
1685.443604,6812,7.135380268,6.935789108,10486.45996
1724.224121,6819,7.065523148,6.915830135,10511.18945
1688.274902,6809,7.135380268,7.03558445,10441.51953
1651.299316,6789,7.135380268,6.965727806,10431.67969
135.4272461,2,7.584459782,7.584459782,0
132.2627411,2,7.584459782,7.584459782,0
571.3273926,1719,1.746421695,1.70650351,2662.459961
1286.187622,5053,5.209326267,5.129489899,7797.540039
1252.73645,5044,5.289163113,5.169408321,7805.72998
1279.413208,5045,5.299142361,5.169408321,7829.949707
1229.26709,5050,5.059633255,4.929899216,7775.810059
1285.924805,5064,5.24924469,5.159428596,7828.449707
186.2291107,153,0,0,228.5800018
1723.965088,6780,7.115420818,6.955748081,10397.24023
1670.938721,6743,7.005645752,6.865931988,10377.2998
1697.624512,6615,6.975707054,6.915830135,10378.70996
1681.964111,6581,6.955748081,6.835993767,10370.7793
1670.394653,6633,6.935789108,6.835993767,10431.55957
1661.230103,6611,6.85595274,6.736197948,10381.45996
1282.970215,5035,6.506668091,6.307077408,8761.839844
1628.736328,6590,6.885891438,6.706259251,10447.00977
1687.886841,6550,6.865931988,6.736197948,10462.39941
541.9595337,1626,1.726462603,1.666585326,2588.709961
890.0018311,3295,3.452925205,3.373088837,5177.669922
925.0229492,3318,3.422986507,3.333170652,5153.219727
